lambda,Chlorophyll_a,Divinylchlorophyll_a,Chlorophyll_b,Divinylchlorophyll_b,Chlorophyll_c12,Fucoxanthin,19_BF,19_HF,Peri,Diad,Zeaxanthin,Alloxanthin,beta_Carotene,alpha_Carotene
532,0.00094912,0.0008853,0.00127,0.0014,0.00174,0.0229,0.01626,0.01659,0.02368,0.0012,0.00185,0.00132,0.0024,0.00114
534,0.00099336,0.0009209,0.00132,0.00143,0.00183,0.02141,0.0148,0.01488,0.02271,0.00108,0.00149,0.00106,0.00186,0.0009
536,0.0010376,0.00095256,0.00138,0.00148,0.00191,0.02007,0.01301,0.01347,0.02178,0.00096,0.00131,0.00106,0.00176,0.0008
538,0.0011304,0.00097336,0.00145,0.00154,0.00201,0.01869,0.01182,0.01226,0.02077,0.0008,0.00113,0.00093,0.00155,0.00085
540,0.0011589,0.0010077,0.00153,0.0016,0.00212,0.01738,0.01096,0.01111,0.0198,0.00068,0.00104,0.00081,0.00144,0.0008
542,0.0012374,0.0010166,0.00159,0.00165,0.00224,0.01615,0.00965,0.0099,0.01883,0.00072,0.00086,0.00076,0.00117,0.00061
544,0.0012688,0.0010294,0.00167,0.00168,0.00233,0.01499,0.00867,0.00893,0.01776,0.00064,0.00077,0.00072,0.00139,0.00057
546,0.0012874,0.0010729,0.00169,0.00174,0.00246,0.01383,0.00771,0.00803,0.01672,0.00056,0.00077,0.00064,0.00133,0.00066
548,0.0013388,0.0010728,0.00177,0.0018,0.00258,0.01274,0.00712,0.00716,0.01578,0.00056,0.00063,0.00055,0.00101,0.00052
550,0.0013545,0.0011031,0.0018,0.00185,0.00304,0.01169,0.00596,0.00632,0.01444,0.00048,0.00059,0.00055,0.00085,0.00043
552,0.0013602,0.0011269,0.00182,0.00191,0.00309,0.01074,0.00527,0.00557,0.0132,0.00044,0.00054,0.00047,0.00096,0.00038
554,0.0014044,0.0011208,0.00188,0.00194,0.00314,0.00984,0.00509,0.00495,0.01233,0.0004,0.0005,0.00042,0.00085,0.00043
556,0.0014415,0.0011281,0.00188,0.00197,0.00318,0.00896,0.00432,0.00454,0.01142,0.0004,0.0005,0.0003,0.00075,0.00033
558,0.0015,0.00114,0.0019,0.00202,0.00325,0.00813,0.00393,0.00398,0.01069,0.00036,0.00036,0.00034,0.00059,0.00038
560,0.00152,0.0011357,0.00193,0.00202,0.00333,0.00737,0.00342,0.00355,0.00982,0.00032,0.00041,0.00034,0.00064,0.00028
562,0.0015885,0.0011754,0.00193,0.00205,0.00344,0.00646,0.00286,0.00302,0.00911,0.00032,0.00032,0.00038,0.00053,0.00033
564,0.001697,0.0011949,0.00196,0.00205,0.00356,0.00563,0.00271,0.00233,0.00841,0.00028,0.00027,0.0003,0.00053,0.00028
566,0.0017569,0.0012093,0.00196,0.00208,0.00371,0.00508,0.00202,0.0023,0.00771,0.00028,0.00032,0.0003,0.00053,0.00024
568,0.0019254,0.0012674,0.00198,0.00211,0.00391,0.00457,0.00176,0.00202,0.00707,0.00024,0.00032,0.0003,0.00043,0.00028
570,0.0020467,0.0013108,0.00201,0.00211,0.00415,0.00414,0.00197,0.00177,0.0065,0.00024,0.00032,0.00021,0.00048,0.00024
572,0.0022065,0.0013532,0.00204,0.00214,0.00445,0.00374,0.00134,0.00152,0.006,0.00024,0.00023,0.00025,0.00043,0.00024
574,0.0023978,0.0014145,0.00209,0.00217,0.00477,0.0033,0.00122,0.00143,0.00546,0.0002,0.00023,0.00021,0.00037,0.00019
576,0.0025733,0.0014831,0.00214,0.00225,0.00509,0.00301,0.00134,0.00131,0.00499,0.0002,0.00018,0.00021,0.00037,0.00019
578,0.0027617,0.0015565,0.00222,0.00234,0.00537,0.00269,0.0008,0.001,0.00452,0.0002,0.00018,0.00017,0.00032,0.00019
580,0.0029244,0.001626,0.0023,0.00245,0.00566,0.00243,0.0008,0.00103,0.00409,0.0002,0.00018,0.00017,0.00027,0.00014
582,0.00311,0.0017034,0.00241,0.00257,0.00589,0.00218,0.00083,0.0009,0.00372,0.00016,0.00014,0.00013,0.00027,0.00014
